Iteration, time
2, 30094
3, 19588
4, 17899
5, 22131
6, 19403
7, 26793
8, 24166
9, 21244
10, 23543
11, 25667
12, 19949
13, 22445
14, 28347
15, 29946
16, 24407
17, 27012
18, 23364
19, 24321
20, 23249
21, 24369
22, 28738
23, 26132
24, 21491
25, 31511
26, 24981
27, 23995
28, 20343
29, 24338
30, 30203
31, 21106
32, 28189
33, 29795
34, 24829
35, 20943
36, 31183
37, 24459
38, 25560
39, 22929
40, 18573
41, 23009
42, 23784
43, 18232
44, 21934
45, 25869
46, 18019
47, 26416
48, 24235
49, 20405
50, 25633
51, 27993
52, 31687
53, 23606
54, 25475
55, 22200
56, 26269
57, 35062
58, 33949
59, 36932
60, 31436
61, 25166
62, 33599
63, 24403
64, 20322
65, 24980
66, 20789
67, 26397
68, 21747
69, 21567
70, 30827
71, 31359
72, 25946
73, 30299
74, 29693
75, 38466
76, 26833
77, 24291
78, 25090
79, 26503
80, 32051
81, 31032
82, 33268
83, 23290
84, 27176
85, 25143
86, 21585
87, 28443
88, 26383
89, 28262
90, 20273
91, 25805
92, 23148
93, 25181
94, 22555
95, 20668
96, 19598
97, 25496
98, 23314
99, 24739
100, 22824
101, 24612
102, 24406
103, 28075
104, 32637
105, 19415
106, 34259
107, 21208
108, 31673
109, 19012
110, 25170
111, 24466
112, 25757
113, 22897
114, 30586
115, 23841
116, 32930
117, 22069
118, 27395
119, 24261
120, 25287
121, 24698
122, 29188
123, 21482
124, 25167
125, 28867
126, 30893
127, 26747
128, 26732
129, 28834
130, 28180
131, 30480
132, 27848
133, 26449
134, 30575
135, 37305
136, 23016
137, 27057
138, 26195
139, 26350
140, 26461
141, 25466
142, 22393
143, 26702
144, 24293
145, 23062
146, 27854
147, 25946
148, 24283
149, 26082
150, 20165
151, 28766
152, 26927
153, 32662
154, 36132
155, 34431
156, 26128
157, 22340
158, 30790
159, 18439
160, 24162
161, 21355
162, 22773
163, 29635
164, 28634
165, 26372
166, 28413
167, 33388
168, 20444
169, 27724
170, 27962
171, 21799
172, 30071
173, 21038
174, 32818
175, 20871
176, 32795
177, 37478
178, 33198
179, 34553
180, 24030
181, 20595
182, 30884
183, 21224
184, 17856
185, 26698
186, 26465
187, 24667
188, 29676
189, 22283
190, 23751
191, 24365
192, 30343
193, 18862
194, 40283
195, 26787
196, 24397
197, 25962
198, 32105
199, 20693
200, 28840
201, 20358
202, 29622
203, 24061
204, 22976
205, 25615
206, 22116
207, 30738
208, 25576
209, 26751
210, 28268
211, 20143
212, 27439
213, 22950
214, 25204
215, 28618
216, 27389
217, 25550
218, 21265
219, 29138
220, 23769
221, 26832
222, 32232
223, 21722
224, 23841
225, 26884
226, 37317
227, 26907
228, 28264
229, 20053
230, 32579
231, 34842
232, 35217
233, 20727
234, 33728
235, 28532
236, 27037
237, 27594
238, 22121
239, 23144
240, 27555
241, 29413
242, 18749
243, 23097
244, 28408
245, 28493
246, 28225
247, 25029
248, 27738
249, 39316
250, 27294
251, 35829
252, 27848
253, 23323
254, 28745
255, 23159
256, 25988
257, 25691
258, 30943
259, 21936
260, 25250
261, 28550
262, 19394
263, 27058
264, 26968
265, 27731
266, 29476
267, 23539
268, 26611
269, 29294
270, 32620
271, 30930
272, 27527
273, 26113
274, 29593
275, 32586
276, 27581
277, 22812
278, 28953
279, 23674
280, 26028
281, 30432
282, 17991
283, 30926
284, 27490
285, 31514
286, 25621
287, 25741
288, 24366
289, 32296
290, 28713
291, 22629
292, 29746
293, 20963
294, 28280
295, 20051
296, 22712
297, 32538
298, 30058
299, 35012
300, 28551
301, 21333
302, 21765
303, 30483
304, 29703
305, 29596
306, 33705
307, 34059
308, 29189
309, 24563
310, 18043
311, 28429
312, 21136
313, 30939
314, 31421
315, 28622
316, 29954
317, 20860
318, 30518
319, 26675
320, 30034
321, 29967
322, 32191
323, 24441
324, 32144
325, 34971
326, 31309
327, 27170
328, 36341
329, 25788
330, 29001
331, 24997
332, 35365
333, 22527
334, 35777
335, 20279
336, 33836
337, 22483
338, 30270
339, 31817
340, 28892
341, 22139
342, 33030
343, 40778
344, 27639
345, 36441
346, 34491
347, 22277
348, 35621
349, 25331
350, 32322
351, 24620
352, 33056
353, 26739
354, 25461
355, 27705
356, 26289
357, 23207
358, 31002
359, 32394
360, 25939
361, 30647
362, 30418
363, 31186
364, 24640
365, 33779
366, 26481
367, 31447
368, 31837
369, 27402
370, 21228
371, 31075
372, 23907
373, 22992
374, 30481
375, 24725
376, 26191
377, 33642
378, 23774
379, 21577
380, 24313
381, 22678
382, 27860
383, 28209
384, 28983
385, 41177
386, 32617
387, 29479
388, 23201
389, 23067
390, 23578
391, 21074
392, 21095
393, 30191
394, 21941
395, 25660
396, 33517
397, 32924
398, 23382
399, 23388
400, 37467
401, 34853
402, 36376
403, 27962
404, 23803
405, 20286
406, 35327
407, 33895
408, 34664
409, 30398
410, 28276
411, 24331
412, 28794
413, 16449
414, 27584
415, 26840
416, 24920
417, 26865
418, 18795
419, 30225
420, 25227
421, 29519
422, 28700
